name,quantity,calories,carbohydrate,fat,protein,link
Shashlik,1 kabob,卡路里: 182,碳水化合: 2克,脂肪: 13.7克,蛋白質: 12.6克,Shashlik
Horseshoe sandwich,"Topcats, 0.25 plate",卡路里: 1887,碳水化合: 126.3克,脂肪: 112.5克,蛋白質: 91.5克,Horseshoe%20sandwich
City chicken,"City?chicken, 112 g",卡路里: 290,碳水化合: 3克,脂肪: 22克,蛋白質: 19克,City%20chicken
Key lime pie,"key lime pie, 1 slice",卡路里: 450,碳水化合: 52克,脂肪: 22克,蛋白質: 6克,Key%20lime%20pie
Potato skins,"Potato Skins, 2 halves",卡路里: 145,碳水化合: 0克,脂肪: 0克,蛋白質: 0克,Potato%20skins
Haejang-guk,"CulinArt, 12 ounce",卡路里: 1193,碳水化合: 97.2克,脂肪: 76.2克,蛋白質: 33.1克,Haejang-guk
Burmese tofu,"Alan's, 4 oz",卡路里: 71,碳水化合: 11克,脂肪: 1克,蛋白質: 4克,Burmese%20tofu
Shumai,"Shumai, 100 g",卡路里: 197,碳水化合: 15.9克,脂肪: 10.3克,蛋白質: 10.2克,Shumai
Sour cherry soup,"Nice!, 13 pieces",卡路里: 150,碳水化合: 37克,脂肪: 0克,蛋白質: 0克,Sour%20cherry%20soup
Gigandes plaki,"the Real Greek, 1 serve",卡路里: 183,碳水化合: 15.6克,脂肪: 11.7克,蛋白質: 4.9克,Gigandes%20plaki
Majboos,"Dieture, 1 Box",卡路里: 416,碳水化合: 35克,脂肪: 18克,蛋白質: 34克,Majboos
Chicken curry,"weightwatchers curry, 1 cup",卡路里: 306,碳水化合: 49.5克,脂肪: 4.6克,蛋白質: 15.5克,Chicken%20curry
Shrimp Creole,"Shrimp, 4 cup",卡路里: 226,碳水化合: 34克,脂肪: 2克,蛋白質: 32克,Shrimp%20Creole
Pork tenderloin sandwich,1 sandwich,卡路里: 661,碳水化合: 52.9克,脂肪: 32克,蛋白質: 39.1克,Pork%20tenderloin%20sandwich
Dampfnudel,"Omas Dampfnudel, 100 Gramm",卡路里: 248,碳水化合: 44.3克,脂肪: 4.5克,蛋白質: 7.5克,Dampfnudel
Finnan haddie,"Finnan Haddie, 1 filet",卡路里: 77,碳水化合: 0克,脂肪: 2克,蛋白質: 13克,Finnan%20haddie
Kenkey,"Ga Kenkey, 100 g",卡路里: 400,碳水化合: 85克,脂肪: 6克,蛋白質: 12克,Kenkey
Pincho,"pincho moruno, 100 gr",卡路里: 132,碳水化合: 0.8克,脂肪: 5.3克,蛋白質: 19克,Pincho
Gundruk,"Himalayan Delight, 1 cup",卡路里: 19,碳水化合: 2.6克,脂肪: 0.2克,蛋白質: 1.6克,Gundruk
Chilorio,"Chilorio, 100 gramo",卡路里: 198,碳水化合: 0克,脂肪: 12克,蛋白質: 21.4克,Chilorio
Koulourakia,"Koulourakia, 1 cookie",卡路里: 75,碳水化合: 10克,脂肪: 3.5克,蛋白質: 1克,Koulourakia
Bryndzov? halu?ky,"bryndzov??halu?ky, 100 g",卡路里: 187,碳水化合: 34.6克,脂肪: 2.4克,蛋白質: 6.8克,Bryndzov?%20halu?ky
Imagawayaki,120.19 gramm,卡路里: 251,碳水化合: 49.1克,脂肪: 4克,蛋白質: 7.4克,Imagawayaki
Vasilopita,"Vasilopita Cake Homemade, 100 gr (1 μερ?δα/serving)",卡路里: 300,碳水化合: 37克,脂肪: 15克,蛋白質: 6.5克,Vasilopita
Strapa?ky,"Strapa?ky, 100 gram",卡路里: 154,碳水化合: 28.3克,脂肪: 2.1克,蛋白質: 4.2克,Strapa?ky
Po' boy,"Po Boy Factory, 1 sandwich",卡路里: 490,碳水化合: 46克,脂肪: 26克,蛋白質: 12克,Po'%20boy
Capirotada,"Homemade, 1 cup",卡路里: 561,碳水化合: 0克,脂肪: 24.5克,蛋白質: 8.5克,Capirotada
Beef Manhattan,1 open faced sandwich,卡路里: 648,碳水化合: 67克,脂肪: 20.3克,蛋白質: 48.5克,Beef%20Manhattan
Sandwich loaf,"Wonderwhite, 2 slices",卡路里: 170,碳水化合: 31.9克,脂肪: 1.6克,蛋白質: 5.8克,Sandwich%20loaf
Jian dui,"Royal China, 1 piece",卡路里: 127,碳水化合: 23.6克,脂肪: 2.6克,蛋白質: 2.8克,Jian%20dui
Almond biscuit,"Macau almond biscuit, 1 biscuit",卡路里: 104,碳水化合: 65.1克,脂肪: 14.5克,蛋白質: 19克,Almond%20biscuit
West Slavic fermented cereal soups,"Slavic?is, 196 g",卡路里: 309,碳水化合: 0克,脂肪: 25克,蛋白質: 21克,West%20Slavic%20fermented%20cereal%20soups
Fried plantain,"Fried plantain, 1 slice",卡路里: 68,碳水化合: 9.7克,脂肪: 3.6克,蛋白質: 0.4克,Fried%20plantain
Stuffed peppers,"Homemade fanks, 1 pepper",卡路里: 311,碳水化合: 24.3克,脂肪: 12.3克,蛋白質: 26.3克,Stuffed%20peppers
Piperade,"Piperade, 100 g",卡路里: 39,碳水化合: 6.5克,脂肪: 1.3克,蛋白質: 0.8克,Piperade
Rogan josh,"Rogan Josh, 325 gram",卡路里: 593,碳水化合: 6.3克,脂肪: 48克,蛋白質: 33克,Rogan%20josh
Fabada asturiana,"Asturiana, 1 cup",卡路里: 276,碳水化合: 10克,脂肪: 19克,蛋白質: 16克,Fabada%20asturiana
Potato wedges,"Potato Wedges, 100 gr",卡路里: 140,碳水化合: 22克,脂肪: 5克,蛋白質: 2克,Potato%20wedges
Calisson,"Calisson, 1 pot",卡路里: 118,碳水化合: 15.9克,脂肪: 3.5克,蛋白質: 4.1克,Calisson
Prawn ball,"Prawn ball, 1 ball",卡路里: 225,碳水化合: 7克,脂肪: 14克,蛋白質: 18克,Prawn%20ball
Kushikatsu,"Izumiya, 1 unit",卡路里: 699,碳水化合: 26.3克,脂肪: 30.7克,蛋白質: 49.6克,Kushikatsu
Lo mai chi,"Lo Mai Gai, 1 cup",卡路里: 161,碳水化合: 18.9克,脂肪: 5.4克,蛋白質: 9.4克,Lo%20mai%20chi
Manchet,"Generic Manchet, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Manchet
Leek soup,1 cup,卡路里: 199,碳水化合: 17.3克,脂肪: 12.9克,蛋白質: 3.8克,Leek%20soup
Vanillerostbraten,"Gourmet, 380 g",卡路里: 536,碳水化合: 39.1克,脂肪: 32.7克,蛋白質: 18.2克,Vanillerostbraten
Hangtown fry,1 cup,卡路里: 467,碳水化合: 21.3克,脂肪: 30.7克,蛋白質: 25.1克,Hangtown%20fry
Cabbie claw,"Generic Cabbie Claw, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Cabbie%20claw
Chitranna,"Homemade, 1 Plate",卡路里: 323,碳水化合: 58.1克,脂肪: 5.6克,蛋白質: 10.5克,Chitranna
Ragi mudde,1 ball,卡路里: 160,碳水化合: 21克,脂肪: 7.2克,蛋白質: 3克,Ragi%20mudde
Denver sandwich,"Generic, 1 sandwich",卡路里: 273,碳水化合: 27克,脂肪: 9克,蛋白質: 15克,Denver%20sandwich
Laverbread,1 g,卡路里: 1,碳水化合: 0克,脂肪: 0克,蛋白質: 0克,Laverbread
Elote,"Elote, 100 g",卡路里: 98,碳水化合: 26.3克,脂肪: 0.8克,蛋白質: 3.3克,Elote
Kulolo,"Kuaui, 1 slice, 2x3""",卡路里: 125,碳水化合: 19克,脂肪: 5克,蛋白質: 1克,Kulolo
Oxtail soup,1 bowl,卡路里: 208,碳水化合: 14.8克,脂肪: 6.8克,蛋白質: 12.9克,Oxtail%20soup
Pantua,"Generic Pantua, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Pantua
Corn relish,"Corn Relish, 1 tbsp",卡路里: 20,碳水化合: 5克,脂肪: 0克,蛋白質: 0克,Corn%20relish
Poga?a,"Mlinar, 100 g",卡路里: 251,碳水化合: 45.8克,脂肪: 4.2克,蛋白質: 7.5克,Poga?a
Qubani-ka-Meetha,"Generic Qubani Ka Meetha, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Qubani-ka-Meetha
Boondi,"Boondi, 1 oz",卡路里: 145,碳水化合: 12克,脂肪: 10克,蛋白質: 5克,Boondi
Arrosticini,"arrosticini, 101 g",卡路里: 159,碳水化合: 0克,脂肪: 8.8克,蛋白質: 20克,Arrosticini
Panelle,"panelle, 1 Gramm",卡路里: 82,碳水化合: 13克,脂肪: 1克,蛋白質: 5克,Panelle
Santula,"Odia Veg Mix, 130 gm",卡路里: 109,碳水化合: 38克,脂肪: 6克,蛋白質: 2克,Santula
Tofu skin roll,"Generic, 1 roll",卡路里: 99,碳水化合: 4克,脂肪: 4.4克,蛋白質: 11.3克,Tofu%20skin%20roll
Crispy fried chicken,"Aladdin, 1 Quarter",卡路里: 480,碳水化合: 20.5克,脂肪: 28.7克,蛋白質: 33.3克,Crispy%20fried%20chicken
Steamed meatball,"Generic, 21 g",卡路里: 63,碳水化合: 0克,脂肪: 5克,蛋白質: 3克,Steamed%20meatball
Lobio,"Generic, 0.75 cup",卡路里: 289,碳水化合: 31克,脂肪: 13.8克,蛋白質: 13.5克,Lobio
Suman,"Suman, 1 sandwich",卡路里: 60,碳水化合: 11克,脂肪: 1.5克,蛋白質: 1克,Suman
Matbukha,"Oasis, 25 gram",卡路里: 112,碳水化合: 8.1克,脂肪: 5.4克,蛋白質: 2.7克,Matbukha
02rgjs1,"M&M, 1 pack",卡路里: 250,碳水化合: 29克,脂肪: 13克,蛋白質: 5克,02rgjs1
A?orda,"A?orda Insa.pt Sl, 100 g",卡路里: 103,碳水化合: 10.1克,脂肪: 5.4克,蛋白質: 5.3克,A?orda
Makdous,1 cup,卡路里: 96,碳水化合: 11.8克,脂肪: 5.6克,蛋白質: 2.3克,Makdous
Soto,"Mee Soto, 1 bowl",卡路里: 520,碳水化合: 92克,脂肪: 15克,蛋白質: 15克,Soto
Frangollo,1 taza,卡路里: 432,碳水化合: 63.8克,脂肪: 16克,蛋白質: 13.9克,Frangollo
Patty melt,"the Melt, 1 sandwich",卡路里: 980,碳水化合: 59克,脂肪: 53克,蛋白質: 58克,Patty%20melt
Taro dumpling,"Foodhut, 1 dumpling",卡路里: 180,碳水化合: 35克,脂肪: 4克,蛋白質: 2克,Taro%20dumpling
Entomatada,1 entomatada,卡路里: 212,碳水化合: 14.8克,脂肪: 14.4克,蛋白質: 7.2克,Entomatada
B?nh cu?n,"B?nh cu?n, 100 gr",卡路里: 129,碳水化合: 16.9克,脂肪: 5.3克,蛋白質: 0克,B?nh%20cu?n
Corunda,"Homemade, 1 cup",卡路里: 113,碳水化合: 7克,脂肪: 9克,蛋白質: 1克,Corunda
Zhaliang,"Generic Zhaliang, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Zhaliang
Cassoulet,"Cassoulet, 1 sandwich",卡路里: 636,碳水化合: 68克,脂肪: 30克,蛋白質: 21克,Cassoulet
Debrecener,"Gotzinger, 60 grams",卡路里: 180,碳水化合: 1.7克,脂肪: 15.4克,蛋白質: 9.5克,Debrecener
Scampi,"Shrimp Scampi crues lidl, 100 g",卡路里: 75,碳水化合: 0克,脂肪: 0.9克,蛋白質: 15.9克,Scampi
Pilaf,"pilaf, 101 g",卡路里: 105,碳水化合: 14.1克,脂肪: 1.5克,蛋白質: 2克,Pilaf
Sambar,"Sambar - Generic, 1 cup or 100g",卡路里: 170,碳水化合: 27克,脂肪: 5克,蛋白質: 5克,Sambar
Century egg,"century?egg, 1 egg",卡路里: 90,碳水化合: 4.6克,脂肪: 4.2克,蛋白質: 8.5克,Century%20egg
Escargot,"Escargot, 100 gramme",卡路里: 313,碳水化合: 2.5克,脂肪: 29克,蛋白質: 10克,Escargot
Cong you bing,"Generic, 100 g",卡路里: 486,碳水化合: 76.2克,脂肪: 20.5克,蛋白質: 15.8克,Cong%20you%20bing
Beef noodle soup,"Sandridge Beef Noodle, 1 cup",卡路里: 400,碳水化合: 35克,脂肪: 22克,蛋白質: 25克,Beef%20noodle%20soup
Magiritsa,"Homemade, 1 cup",卡路里: 153,碳水化合: 10克,脂肪: 11克,蛋白質: 2.3克,Magiritsa
Gugelhupf,"gugelhupf, 1 st?ck",卡路里: 429,碳水化合: 41克,脂肪: 27克,蛋白質: 4.6克,Gugelhupf
Sachima,144.34 gramm,卡路里: 467,碳水化合: 72.6克,脂肪: 16.9克,蛋白質: 8.2克,Sachima
White rice,"Jasmin White Rice, 1 cup",卡路里: 181,碳水化合: 39克,脂肪: 1克,蛋白質: 4克,White%20rice
Maultasche,"Maultasche, 100 g",卡路里: 197,碳水化合: 12.1克,脂肪: 11.5克,蛋白質: 9.8克,Maultasche
American chop suey,1 serving (about 2 cups),卡路里: 582,碳水化合: 48.3克,脂肪: 29.9克,蛋白質: 30.5克,American%20chop%20suey
Fish slice,"Fish, 6 servings;",卡路里: 265,碳水化合: 9克,脂肪: 15克,蛋白質: 30克,Fish%20slice
Sea cucumber,"sea cucumber, 0.333333 cup",卡路里: 190,碳水化合: 10克,脂肪: 15克,蛋白質: 7克,Sea%20cucumber
Beef ball,"Beef?ball, 100 g",卡路里: 298,碳水化合: 4.3克,脂肪: 23.8克,蛋白質: 16.7克,Beef%20ball
Siu yuk,"Eurest, 1 plate",卡路里: 403,碳水化合: 36.3克,脂肪: 14.1克,蛋白質: 33克,Siu%20yuk
Seafood birdsnest,"Save on, 1 each",卡路里: 520,碳水化合: 53克,脂肪: 32克,蛋白質: 6克,Seafood%20birdsnest
White cut chicken,"Subway, 12 "" sub",卡路里: 760,碳水化合: 81克,脂肪: 24克,蛋白質: 59克,White%20cut%20chicken
02vwryj,"M&M, 1 pack",卡路里: 250,碳水化合: 29克,脂肪: 13克,蛋白質: 5克,02vwryj
Satsivi,239.08 gramme,卡路里: 475,碳水化合: 19.1克,脂肪: 40.6克,蛋白質: 18克,Satsivi
Malpua,"Indian Sweet, 1 pc (36g)",卡路里: 151,碳水化合: 22.5克,脂肪: 6.9克,蛋白質: 1克,Malpua
Chhena gaja,"Generic Chhena Gaja, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Chhena%20gaja
Flying Jacob,"Diet Doctor, 1 Cup",卡路里: 513,碳水化合: 8克,脂肪: 34.6克,蛋白質: 36.6克,Flying%20Jacob
Steak de Burgo,"Generic, 6 oz beef tenderloin",卡路里: 275,碳水化合: 7克,脂肪: 20克,蛋白質: 17克,Steak%20de%20Burgo
Crab Louie,"Homemade, 1 uncooked",卡路里: 290,碳水化合: 12克,脂肪: 5克,蛋白質: 24克,Crab%20Louie
Butter chicken,"Butter Chicken, 300 g",卡路里: 300,碳水化合: 11克,脂肪: 17克,蛋白質: 27克,Butter%20chicken
Amok trey,"Trey khor, 95 g",卡路里: 250,碳水化合: 7克,脂肪: 22克,蛋白質: 10克,Amok%20trey
Menemen,1 ??lek (321 g),卡路里: 240,碳水化合: 21.6克,脂肪: 13.8克,蛋白質: 12.3克,Menemen
Piadina,"Piadina, 1 piada",卡路里: 182,碳水化合: 28.1克,脂肪: 6.9克,蛋白質: 4.4克,Piadina
Orange cuttlefish,"Cuttlefish, 1 cup",卡路里: 72,碳水化合: 0克,脂肪: 1克,蛋白質: 14克,Orange%20cuttlefish
Fudge,"Fudge, 1 piece",卡路里: 90,碳水化合: 19克,脂肪: 1.5克,蛋白質: 3克,Fudge
Cottage Pudding,"Allrecipes.com, 0.111 th of cake",卡路里: 277,碳水化合: 45.1克,脂肪: 9克,蛋白質: 4.5克,Cottage%20Pudding
Meatcake,1 piece,卡路里: 521,碳水化合: 21.7克,脂肪: 29.5克,蛋白質: 40.2克,Meatcake
Buttermilk pie,1 piece,卡路里: 454,碳水化合: 59.9克,脂肪: 21.9克,蛋白質: 5.8克,Buttermilk%20pie
Kalamay,"Kalamay, 1 cup",卡路里: 98,碳水化合: 14克,脂肪: 4克,蛋白質: 1克,Kalamay
Puto,"Cheese Puto, 1 pc",卡路里: 150,碳水化合: 20克,脂肪: 8克,蛋白質: 1克,Puto
Dal makhani,1 serving,卡路里: 427,碳水化合: 39.5克,脂肪: 24.2克,蛋白質: 16.3克,Dal%20makhani
Mixiote,"Mixiote?Walmart, 100 g",卡路里: 218,碳水化合: 4克,脂肪: 15克,蛋白質: 19克,Mixiote
Bagel dog,"Nathan's bagel dog, 3 pieces",卡路里: 200,碳水化合: 20克,脂肪: 10克,蛋白質: 7克,Bagel%20dog
B?n ri?u,"B?n ri?u, 1 t?",卡路里: 414,碳水化合: 60.8克,脂肪: 12.2克,蛋白質: 17.8克,B?n%20ri?u
Feijoada,"Caseira, 400 g",卡路里: 559,碳水化合: 66.8克,脂肪: 26克,蛋白質: 34.8克,Feijoada
Pho,"Pho, 1 Serving",卡路里: 396,碳水化合: 42克,脂肪: 9克,蛋白質: 36克,Pho
Milk toast,"Sunshine, 2 slices",卡路里: 150,碳水化合: 29.3克,脂肪: 2.3克,蛋白質: 5.5克,Milk%20toast
Liver and onions,"Liver, 6 oz.",卡路里: 211,碳水化合: 6克,脂肪: 5克,蛋白質: 48克,Liver%20and%20onions
Iced bun,"IGA Iced Bun, 112 gram",卡路里: 305,碳水化合: 54.5克,脂肪: 5.6克,蛋白質: 6.8克,Iced%20bun
Sheer khurma,"Laziza, 1 cup",卡路里: 70,碳水化合: 80克,脂肪: 1克,蛋白質: 2.5克,Sheer%20khurma
Yi mein,"Yi-Mein, 3 Slice",卡路里: 618,碳水化合: 70.2克,脂肪: 30.6克,蛋白質: 14克,Yi%20mein
Shrimp roe noodles,"Sautao, 93 grams",卡路里: 330,碳水化合: 66克,脂肪: 1克,蛋白質: 15克,Shrimp%20roe%20noodles
Lai fun,"White Elephant, 2 oz",卡路里: 200,碳水化合: 46克,脂肪: 0克,蛋白質: 3克,Lai%20fun
Oil noodles,"Hon's, 0.2 package",卡路里: 180,碳水化合: 34克,脂肪: 1克,蛋白質: 10克,Oil%20noodles
Kal-guksu,"kal guksu, 101 g",卡路里: 355,碳水化合: 76克,脂肪: 1.5克,蛋白質: 10克,Kal-guksu
Youmian,"Generic Youmian, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Youmian
Avgolemono,364.04 gramm,卡路里: 157,碳水化合: 24克,脂肪: 3.3克,蛋白質: 7克,Avgolemono
Pork roll,"Taylor, 3 slices",卡路里: 200,碳水化合: 1克,脂肪: 18克,蛋白質: 10克,Pork%20roll
Tart,"Tart, 130 grams",卡路里: 367,碳水化合: 14克,脂肪: 30克,蛋白質: 11克,Tart
Leberk?se,"Leberk?se, 100 gr",卡路里: 250,碳水化合: 0.8克,脂肪: 21克,蛋白質: 14克,Leberk?se
Kalakukko,"Fineli, 1 keskikokoinen viipale",卡路里: 222,碳水化合: 20.4克,脂肪: 9.5克,蛋白質: 12克,Kalakukko
Mustamakkara,"Pirkka Mustamakkara, 100 g",卡路里: 220,碳水化合: 16克,脂肪: 12克,蛋白質: 12克,Mustamakkara
Baba ghanoush,"Aladdin, 1 ounce",卡路里: 32,碳水化合: 3.1克,脂肪: 2.1克,蛋白質: 0.7克,Baba%20ghanoush
Karelian pasty,"Generic, 1 pasty (70g)",卡路里: 161,碳水化合: 24.5克,脂肪: 5.5克,蛋白質: 3.6克,Karelian%20pasty
Shortcake,1 piece,卡路里: 205,碳水化合: 27克,脂肪: 9克,蛋白質: 3.9克,Shortcake
Profiterole,"profiterole, 1 slice",卡路里: 34,碳水化合: 0克,脂肪: 2.2克,蛋白質: 3.2克,Profiterole
Moussaka,"Moussaka Toro, 1 portion",卡路里: 450,碳水化合: 28克,脂肪: 22.7克,蛋白質: 32.2克,Moussaka
Dulce de leche,1 tablespoon,卡路里: 60,碳水化合: 10.5克,脂肪: 1.4克,蛋白質: 1.3克,Dulce%20de%20leche
Blaa,"Riston blaa blaa blaa, 100 gram",卡路里: 154,碳水化合: 20克,脂肪: 5克,蛋白質: 7.9克,Blaa
Risotto,"Risotto, 100 Gr",卡路里: 345,碳水化合: 76.5克,脂肪: 0.7克,蛋白質: 7.3克,Risotto
Funnel cake,1 cake,卡路里: 263,碳水化合: 36.9克,脂肪: 9.6克,蛋白質: 6.9克,Funnel%20cake
Fried dough,1 piece,卡路里: 450,碳水化合: 65.8克,脂肪: 18.6克,蛋白質: 5.3克,Fried%20dough
Consomm?,"Aylmer, 0.5 tasse",卡路里: 20,碳水化合: 1克,脂肪: 0克,蛋白質: 4克,Consomm?
Clam chowder,"Maine clam chowder, 1 cup",卡路里: 220,碳水化合: 16克,脂肪: 12克,蛋白質: 12克,Clam%20chowder
Tartiflette,233.45 gramm,卡路里: 446,碳水化合: 25.6克,脂肪: 28.7克,蛋白質: 19.5克,Tartiflette
Red curry,"Red curry, 20 g",卡路里: 52,碳水化合: 3.1克,脂肪: 4.2克,蛋白質: 1.1克,Red%20curry
Tandoori chicken,"Homemade Tandoori Chicken, 100 g",卡路里: 112,碳水化合: 13.7克,脂肪: 2.7克,蛋白質: 10.6克,Tandoori%20chicken
Gazpacho,"Mom's Gazpacho, 1 Cup",卡路里: 125,碳水化合: 14克,脂肪: 0克,蛋白質: 2克,Gazpacho
Prosciutto,1 slice,卡路里: 18,碳水化合: 0克,脂肪: 0.8克,蛋白質: 2.6克,Prosciutto
Boerewors,"Boerewors, 100 grams",卡路里: 226,碳水化合: 2.4克,脂肪: 16.5克,蛋白質: 15.1克,Boerewors
Baked potato,"Medium baked potato, 6.1 ounce",卡路里: 161,碳水化合: 37克,脂肪: 0.2克,蛋白質: 4.3克,Baked%20potato
Bouillabaisse,2 cups,卡路里: 537,碳水化合: 24.7克,脂肪: 11克,蛋白質: 79.2克,Bouillabaisse
Kralan,"Generic Kralan, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Kralan
Chireta,"Casero, 100 g",卡路里: 210,碳水化合: 14.8克,脂肪: 10.9克,蛋白質: 13.6克,Chireta
Bakewell tart,1 piece,卡路里: 390,碳水化合: 48.8克,脂肪: 19.3克,蛋白質: 7.8克,Bakewell%20tart
Grits,"Grits, 1 packet",卡路里: 100,碳水化合: 22克,脂肪: 1.5克,蛋白質: 2克,Grits
Shaved ice,"Ice, 24 ounces",卡路里: 0,碳水化合: 0克,脂肪: 0克,蛋白質: 0克,Shaved%20ice
Choco pie,"Choco Pie, 1 pie",卡路里: 120,碳水化合: 19克,脂肪: 5克,蛋白質: 1克,Choco%20pie
Cumian,"Generic Cumian, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Cumian
Jokbal,"Gogi, 1 cup cooked",卡路里: 250,碳水化合: 0克,脂肪: 0克,蛋白質: 0克,Jokbal
Grillades,"Umph, 1 serving",卡路里: 199,碳水化合: 16.5克,脂肪: 7.8克,蛋白質: 15.3克,Grillades
Hotteok,63.33 gramm,卡路里: 197,碳水化合: 31克,脂肪: 7克,蛋白質: 4.1克,Hotteok
Ezogelin soup,"Ezogelin ?orbas?, 200 ml",卡路里: 200,碳水化合: 365克,脂肪: 5克,蛋白質: 116克,Ezogelin%20soup
Knedle,"knedle, 100 g",卡路里: 150,碳水化合: 33克,脂肪: 0.5克,蛋白質: 2.5克,Knedle
Masgouf,"Generic Masgouf, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Masgouf
Sope,"sope, 1 cup",卡路里: 110,碳水化合: 24克,脂肪: 1克,蛋白質: 2克,Sope
Coconut rice,"Homemade, 1 cup cooked",卡路里: 453,碳水化合: 61.4克,脂肪: 20.9克,蛋白質: 6.8克,Coconut%20rice
Bakarkhani,"Bakarkhani, 37 ,5grams",卡路里: 788,碳水化合: 71克,脂肪: 47克,蛋白質: 10克,Bakarkhani
Asida,"asida, 1 kg",卡路里: 1500,碳水化合: 5克,脂肪: 50克,蛋白質: 5克,Asida
Dirt cake,"Peanut Butter Dirt Cake, 1 Cup",卡路里: 366,碳水化合: 40克,脂肪: 21克,蛋白質: 5克,Dirt%20cake
Sel roti,32.44 gramm,卡路里: 123,碳水化合: 11.9克,脂肪: 8.4克,蛋白質: 0.6克,Sel%20roti
Kalakand,44.22 gramme,卡路里: 142,碳水化合: 16.9克,脂肪: 6.3克,蛋白質: 5克,Kalakand
Ghevar,"Sweets, 1 g",卡路里: 4,碳水化合: 0.2克,脂肪: 0.4克,蛋白質: 0克,Ghevar
Sussex pond pudding,78.69 gramm,卡路里: 282,碳水化合: 33.7克,脂肪: 16.4克,蛋白質: 2.3克,Sussex%20pond%20pudding
Lontong,"Hawker, 1 plate",卡路里: 466,碳水化合: 52克,脂肪: 25克,蛋白質: 16克,Lontong
B?nh b?o,"B?nh B?o, 1 dish",卡路里: 358,碳水化合: 44.9克,脂肪: 13.9克,蛋白質: 13克,B?nh%20b?o
Pring?,"montealbor, 101 gramo",卡路里: 561,碳水化合: 0.7克,脂肪: 50.5克,蛋白質: 14.2克,Pring?
Bull roast,"Red bull, 8.4 ounce",卡路里: 110,碳水化合: 28克,脂肪: 0克,蛋白質: 1克,Bull%20roast
Stuffed ham,"stuffed chicken, 1 piece",卡路里: 360,碳水化合: 2克,脂肪: 15克,蛋白質: 54克,Stuffed%20ham
Lablabi,"Homemade- ATK, 2 cups",卡路里: 420,碳水化合: 49克,脂肪: 19克,蛋白質: 15克,Lablabi
Gooey butter cake,"Homemade, 0.03 of 9x13 cake",卡路里: 197,碳水化合: 27克,脂肪: 9克,蛋白質: 1.5克,Gooey%20butter%20cake
Carciofi alla giudia,"Homemade, 1 porzione - 2 carciofi",卡路里: 153,碳水化合: 22克,脂肪: 0克,蛋白質: 4克,Carciofi%20alla%20giudia
Yin si juan,"Yin Si Rice Vermicelli, 1 cup",卡路里: 345,碳水化合: 26克,脂肪: 0克,蛋白質: 7克,Yin%20si%20juan
Babi panggang,"Babi Panggang Manado, 100 gram",卡路里: 250,碳水化合: 0克,脂肪: 14克,蛋白質: 27克,Babi%20panggang
Chao hong guo,"Generic Chao Hong Guo, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Chao%20hong%20guo
Fun guo,"Generic Fun Guo, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Fun%20guo
Khira sagara,"Generic Khira Sagara, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Khira%20sagara
Coconut bar,"Atkins Coconut Bar, 1 item",卡路里: 170,碳水化合: 2克,脂肪: 12克,蛋白質: 4克,Coconut%20bar
Sundae,"Mcdonalds Sundae, 1 cup",卡路里: 275,碳水化合: 46克,脂肪: 9克,蛋白質: 5克,Sundae
Tuna fish sandwich,"Starkist, 1 Sandwich",卡路里: 330,碳水化合: 40克,脂肪: 17克,蛋白質: 36克,Tuna%20fish%20sandwich
Zhangcha duck,"Generic Zhangcha Duck, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Zhangcha%20duck
Marry girl cake,"Generic Marry Girl Cake, 1 cup",卡路里: 100,碳水化合: 1克,脂肪: 1克,蛋白質: 50克,Marry%20girl%20cake
Frijoles charros,247.23 gramm,卡路里: 302,碳水化合: 38.5克,脂肪: 13.1克,蛋白質: 14.9克,Frijoles%20charros
Rosca de reyes,"rosca de reyes, 50 g",卡路里: 174,碳水化合: 27.9克,脂肪: 5.6克,蛋白質: 3.6克,Rosca%20de%20reyes
Happy Faces,"Mcvitie's, 1 Biscuit",卡路里: 48,碳水化合: 1.2克,脂肪: 1.9克,蛋白質: 0.6克,Happy%20Faces
Deviled crab,"Giant, 1 crab (85g)",卡路里: 210,碳水化合: 3克,脂肪: 17克,蛋白質: 11克,Deviled%20crab
